ID	"Name (Counterpart)"	"RA (h:m:s)"	"DEC (º:':"")"	"l (deg)"	"b (deg)"	"Magnitude Outburst (AB)"	"Mag. Quies. (AB)"	"d  (kpc)"	"fxpeak [2-10] (erg/s/cm2)"	"Porb (h)"
60	"MAXI J1535-571GRB 170902A"	15:35:19.71	-57:13:47.58	323.7240835	-01.1288600	i’=21.8±0.2			1.44E-07		
59	IGR J17454-2919	17:45:27.69	-29:19:53.83	359.6444268	-00.1765105		J=17.137		2.78E-10		
58	IGR J17451-3022	17:45:06.72	-30:22:43.30	358.7115137	-00.6579992				1.90E-10	∼6.284±0.001	
57	MAXI J1828-249	18:28:58.07	-25:01:45.88	008.1151012	-06.5448459	r'=16.9±0.1			4.58E-09		
56	SWIFT J1753.7-2544	17:53:39.85	-25:45:14.20	003.6476003	+00.1035382	K (not AB)∼16.5			7.09E-09		
55	SWIFT J174510.8-262411	17:45:10.85	-26:24:12.60	002.1108255	+01.4032659	i'∼17.6	r'>23.1±0.5	<7	2.90E-08	≤21	
54	"SWIFT J1910.2-0546 MAXI J1910-057"	19:10:22.80	-05:47:55.92	029.9025737	-06.8440294	r'=15.7±0.1			1.95E-08	>6.2	
53	MAXI J1305-704	13:06:55.30	-70:27:05.11	304.2379729	-07.6189888	uvw1=17.23±0.04			1.03E-09	9.74±0.04	
52	MAXI J1836-194	18:35:43.45	-19:19:10.48	013.9456207	-05.3543217	V=16.33±0.08	r>23.474	7±3	1.01E-09	<4.9	
51	MAXI J1543-564	15:43:17.18	-56:24:49.61	325.0848697	-01.1211766				1.43E-09		
50	SWIFT J1357.2-0933	13:57:16.82	-09:32:38.55	328.7018426	+50.0043094	r'=16.3±0.05	r'=21.71±0.08	>2.29	2.23E-10	2.8±0.3	
49	"MAXI J1659-152 V2862 Oph"	16:59:01.68	-15:15:28.73	005.5153001	+16.5261885	V=16.756	r'=23.7±0.1	8.6±3.7	6.80E-09	2.414±0.005	
48	"XTE J1752-223 V5678 Sgr"	17:52:15.09	-22:20:32.36	006.4231338	+02.1143171	J=15.75±0.01	i'>24.4	6±2	5.18E-10	<7	
47	XTE J1652-453	16:52:20.33	-45:20:39.99	340.5296446	-00.7867679	Ks=18.8±0.3			1.39E-08		
46	SWIFT J1539.2-6227	15:39:11.96	-62:28:02.30	321.0186501	-05.6427706	uvw2=18.07±0.03			6.47E-09		
45	SWIFT J1842.5-1124	18:42:17.45	-11:25:03.90	021.7270436	-03.1790305	Ks=16.75±0.05	Ks∼19.25		9.85E-09		
44	SWIFT J174540.2-290005	17:45:40.10	-29:00:06.40	359.9494702	-00.0431583	Ks>19.55			4.98E-12		
43	IGR J17497-2821	17:49:38.04	-28:21:17.50	000.9531046	-00.4527580	Ks=17.8±0.2			1.09E-09		
42	XTE J1817-330	18:17:43.53	-33:01:07.57	359.8172195	-07.9954429	g'=14.93±0.05	V>21.956	5.5±4.5	4.94E-08		
41	"XTE J1726-476 IGR J17269-4737"	17:26:49.28	-47:38:24.90	342.2032857	-06.9229366	I=17.3±0.1	V>18.956		3.53E-09		
40	XTE J1818-245	18:18:24.43	-24:32:17.96	007.4426994	-04.1914597	R∼17±0.01	R>18.36	3.55±0.75	1.69E-08		
39	SWIFT J1753.5-0127	17:53:28.29	-01:27:06.22	024.8976155	+12.1860733	R∼15.85	V>20.956	∼6±2	5.64E-09	3.244±0.001	
38	IGR J17098-3628	17:09:45.93	-36:27:57.30	349.5539129	+02.0745163	V∼20.8		∼10.5	1.08E-09		
37	"IGR J17091-3624 SAX J1709.1-3624"	17:09:07.61	-36:24:25.70	349.5247361	+02.2127374	I=18.66±0.03			5.96E-09		
36	"XTE J1720-318 V1228 Sco"	17:19:58.99	-31:45:01.11	354.6237198	+03.1012825	Ks∼17.15		6.5±3.5	1.06E-08		
35	XTE J1908+094	19:08:53.08	+09:23:04.84	043.2633756	+00.4340786	R>23	J∼21.1±0.1	6.5±3.5	3.77E-09		
34	SAX J1711.6-3808	17:11:37.10	-38:07:05.70	348.4406504	+00.7988057		R>22.055		1.27E-09		
33	XTE J1650-500	16:50:00.98	-49:57:43.60	336.7182648	-03.4270109	B∼16.8	R∼22.055	2.6±0.7	1.52E-08	7.69±0.02	
32	"XTE J1118+480 KV UMa"	11:18:10.79	+48:02:12.42	157.6611620	+62.3205658	V=13±0.3	R=19.055	1.72±0.1	4.99E-10	4.078414±5E-06	
31	"XTE J1859+226 V406 Vul"	18:58:41.58	+22:39:29.40	054.0460820	+08.6076070	R∼15.15	R=22.54±0.07	12.5±1.5	3.35E-08	6.58±0.05	
30	"SAX J1819.3-2525 V4641 Sgr"	18:19:21.58	-25:24:25.10	006.7740023	-04.7887355	V=8.8	I=13.52±0.03	6.2±0.7	2.76E-07	67.6152±0.0002	
29	XTE J2012+381	20:12:37.71	+38:11:01.10	075.3883359	+02.2470781	R=20±0.2			7.77E-09		
28	XTE J1748-288	17:48:05.06	-28:28:25.80	000.6755628	-00.2220324			≥8	1.61E-08		
27	"XTE J1550-564 V381 Nor"	15:50:58.70	-56:28:35.20	325.8824005	-01.8268704	V∼16.6	i=19.044±0.03	4.5±0.5	1.61E-07	37.0088±0.0001	
26	XTE J1755-324	17:55:28.60	-32:28:39.00	358.0392155	-03.6313694				3.41E-09		
25	GRS 1737-31	17:40:09.00	-31:02:24.00	357.5877503	-00.0994064				6.00E-10		
24	"GRS 1739-278 V2606 Oph"	17:42:40.03	-27:44:52.70	000.6720951	+01.1757242	R=20.6±0.1	J>19.2	7.25±1.25	7.20E-09		
23	XTE J1856+053	18:56:42.92	+05:18:34.30	038.2584339	+01.2487501	Ks=18.28±0.05			7.46E-10		
22	"GRS 1730-312 KS 1730-312"	17:33:32.00	-31:12:16.00	356.6879350	+01.0063439				1.14E-08		
21	"GRO J1655-40 N Sco 1994 = V1033 Sco"	16:54:00.14	-39:50:44.90	344.9818318	+02.4560428	R=13.55	R=16.3±0.1	3.2±0.2	1.15E-07	62.92±0.003	
20	"GRS 1716-249 N Oph 1993 = V2293 Oph"	17:19:36.93	-25:01:03.43	000.1422746	+06.9908643	V∼16.6	R≥20.055	2.4±0.4	1.97E-08		
19	"GRS 1009-45 N Vel 1993 = MM Vel"	10:13:36.34	-45:04:31.50	275.8784710	+09.3459749	R<14.7	R=21.3±0.2	3.8±0.3	5.10E-08	6.8449±0.0003	
18	"GRS 1915+105 V1487 Aql"	19:15:11.55	+10:56:44.80	045.3657052	-00.2189751	K (not AB)=11.4	I∼23.7±0.4	9±2	9.29E-08	812±4	
17	"GRO J0422+32 V518 Per"	04:21:42.79	+32:54:27.10	165.8808146	-11.9124371	R=12.65	R=21±0.1	2.49±0.3	5.77E-08	5.09185±5E-06	
16	"GRS 1124-684  N Mus 1991 = GU Mus"	11:26:26.65	-68:40:32.83	295.3006588	-07.0726335	V∼13.5	i'=19.92±0.04	5.9±0.3	1.36E-07	10.38254±7E-05	
15	"GS 2023+338 V404 Cyg"	20:24:03.82	+33:52:01.90	073.1187114	-02.0913251	V∼11.7	R=16.58±0.01	2.39±0.14	2.59E-07	155.311±0.002	
14	"GS 1734-275 GRO 1735-27 = KS 1732-273"	17:36:02.00	-27:25:41.00	000.1608028	+02.5905598				1.20E-09		
13	"GS 2000+251 QZ Vul"	20:02:49.48	+25:14:11.36	063.3663891	-02.9984758	V=16.4	R=21.3±0.2	2.7±0.7	3.46E-07	8.258095±5E-06	
12	"GS 1354-64 BW Cir"	13:58:09.70	-64:44:05.80	309.9774112	-02.7798734	V=16.9	R=20.71±0.03	∼25	2.38E-09	61.068±0.002	
11	EXO 1846-031	18:49:16.92	-03:03:54.74	029.9580344	-00.9179341		I>22.309	∼7	1.02E-08		
10	SLX 1746-331	17:49:48.94	-33:12:11.60	356.8092322	-02.9735808	Ks=18.78±0.06			1.37E-08		
9	"H 1705-250 N Oph 1977 = V2107 Oph"	17:08:15.52	-25:05:30.15	358.5892354	+09.0538707	B=16.3±0.5	R∼20.9±0.2	8.6±2.1	1.75E-08	12.51±0.03	
8	"H 1743-322 XTE J1746-322 = IGR J17464-3213"	17:46:15.60	-32:14:00.86	357.2550371	-01.8329174	R=21.95	i'>24	∼10	4.62E-08		
7	"3A 0620-003 N Mon 1975 = V616 Mon"	06:22:44.50	-00:20:44.72	209.9563081	-06.5398756	V∼11.12	R=17.12±0.04	1.06±0.1	2.65E-06	7.7523372±2E-07	
6	"3A 1524-617 KY TrA"	15:28:16.97	-61:52:57.80	320.3189872	-04.4268852	B=17.3	R=22.36±0.1		4.66E-08	8 – 15	
5	"1H 1659-487 GX 339-4 = V821 Ara"	17:02:49.40	-48:47:23.40	338.9390902	-04.3264830	V=14.7±0.1	r=19.9±0.1	>6	2.56E-08	42.14±0.01	
4	"4U 1755-338 V4134 Sgr"	17:58:40.04	-33:48:26.80	357.2155210	-04.8723618	V∼18.5	R>21.555	6.5±2.5	1.17E-09	∼4.4	
3	"4U 1543-475 IL Lup"	15:47:08.32	-47:40:10.80	330.9178710	+05.4261469	V=14.9	I=16.1±0.1	7.5±0.5	9.42E-08	26.79377±7E-05	
2	"4U 1630-472 Nor X-1"	16:34:01.61	-47:23:34.80	336.9112429	+00.2502954	K (not AB)=16.1			2.65E-08		
1	Cen X-2	14:00:28.20	-64:47:35.60	310.2000982	-02.9001343				1.58E-07		
