name                 |optical_name|ra         |dec        |porb   |fx_limit|fx      |fx_max |xray_type|lii      |bii      |position_type|ref_optical|vmag_limit|vmag |vmag_min|vmag_flag|bv_color|bv_color_flag|bv_color_max|ub_color|reddening|reddening_max|reddening_flag|ref_photometry |jmag  |hmag_limit|hmag  |kmag_limit|kmag  |fx_range      |ref_fx     |porb_flag|pulse_per |pulse_per_flag|ref_periods|spect_type  |alt_name_1           |alt_name_1_flag|alt_name_2  |alt_name_3|class                                  |
1H 1253-761          |HD 109857   |12 39 14.60|-75 22 14.0|       |        |    0.60|       |         |302.14353|-12.51748|O            |719        |          | 6.49|        |         |    0.08|             |            |   -0.24|     0.20|             |              |111,564        | 6.169|          | 6.169|          | 6.102|              |850        |         |          |              |           |B7 Vne      |                     |               |SAO 256967  |          |                          HMXRB BE STAR|
IGR J12349-6434      |RT Cru      |12 34 54.70|-64 33 55.6|       |        |    1.30|       |T, P     |301.15792| -1.75063|X            |           |          |12.46|        |         |    1.75|             |            |    0.28|         |             |              |96             | 6.646|          | 5.583|          | 5.185|(0.5--10 keV) |777        |         |          |              |           |O-A         |                     |               |            |          |                     HMXRB X-RAY PULSAR|
2RXP J130159.6-635806|            |13 01 58.70|-63 58 09.0|       |        |    6.30|       |T, P     |304.08824| -1.12109|IR           |           |          |     |        |         |        |             |            |        |         |             |              |93             |13.000|          |12.100|          |11.400|(20--60 keV)  |93         |         |  704.0000|              |93         |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
1H 1249-637          |HD 110432   |12 42 50.30|-63 03 31.0|       |        |    2.20|       |         |301.95802| -0.20313|O            |719        |          | 5.31|        |         |    0.27|             |            |   -0.79|     0.40|             |              |111,564        | 4.655|          | 4.339|          | 4.038|              |850        |         |14200.0000|?             |771        |B0.5IIIe    |                     |               |SAO 252002  |BZ Cru    |                          HMXRB BE STAR|
4U 1223-624          |BP Cru ?    |12 26 37.60|-62 46 13.0| 41.590|        |    9.00| 1000.0|P, T, C  |300.09815| -0.03512|O            |65         |          |10.80|        |         |    1.76|             |            |    0.42|     1.84|             |              |57,274,764,805 | 6.717|          | 6.077|          | 5.672|              |64         |         |  696.0000|              |547,689    |B1-1.5 Ia   |GX 301-2             |               |WRA 977     |          |          HMXRB SUPERGIANT X-RAY PULSAR|
2S 1417-624          |No. 7       |14 21 12.90|-62 41 54.0| 42.120|        |    2.00|   43.0|P, T     |313.02125| -1.59848|O            |13         |          |17.20|        |:        |    0.70|:            |        1.70|    0.80|     2.00|             |:             |258            |13.297|          |12.747|          |12.294|              |64         |         |   17.6000|              |207,373    |B1Ve        |                     |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
2S 1145-619          |V801 Cen    |11 48 00.00|-62 12 25.0|187.500|        |    4.00| 1000.0|P, T     |295.61107| -0.24028|O            |65         |          | 9.30|        |         |    0.18|             |            |   -0.81|     0.35|             |              |568,564,816    | 8.677|          | 8.577|          | 8.403|              |64         |         |  292.4000|              |547,819    |B0.2IIIe    |2E 1145.5-6155       |               |HD 102567   |          |             HMXRB BE STAR X-RAY PULSAR|
SAX J1324.4-6200     |            |13 24 26.30|-62 00 53.0|       |        |    0.40|       |P        |306.79301|  0.60938|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |9          |         |  170.8400|              |9          |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
1E 1145.1-6141       |V830 Cen    |11 47 28.60|-61 57 14.0| 14.400|        |    4.00|   70.0|P        |295.48987| -0.00984|O            |322        |          |13.10|        |         |    1.50|             |            |    0.15|     1.60|             |              |166,331        | 9.607|          | 9.110|          | 8.810|              |322, 50    |         |  298.0000|              |628,414    |B2Iae       |                     |               |            |          |          HMXRB SUPERGIANT X-RAY PULSAR|
1A 1118-615          |Hen 3-640   |11 20 57.20|-61 55 00.0|       |        |    0.10|   70.0|P, T     |292.49858| -0.89174|O            |355        |          |12.10|        |         |    0.96|             |            |   -0.30|     1.20|             |              |355            | 9.563|          | 9.071|          | 8.587|              |64,536     |         |  405.0000|              |547        |O9.5Ve      |                     |               |WRAY 15-793 |          |             HMXRB BE STAR X-RAY PULSAR|
