name        |ra        |dec      |lim_mag1|mag1|type1|type1_flag|type2|type2_flag|orbital_period|orbital_period_flag|alt_name    |lii     |bii     |acc_pos|type3|type3_flag|type4|type4_flag|mag1_flag|lim_mag2|mag2|mag2_flag|lim_mag3|mag3|mag3_flag|lim_mag4|mag4|mag4_flag|interval|interval2|period2   |period2_flag|period3   |period3_flag|period4   |period4_flag|eclipse|sb|spect_type_2|spect_type_1|lim_mass_ratio|mass_ratio|mass_ratio_flag|mass_ratio_error|lim_inclination|inclination|inclination_flag|inclination_error|lim_m1|m1   |m1_flag|m1_error|lim_m2|m2   |m2_flag|m2_error|class                    |
DT Oct      |18 40 52.6|-83 43 10|        |17.1|DN   |          |SU   |          |      0.072600|E                  |NSV 10934   |309.9560|-26.6643|1      |     |          |     |          |B        |        |    |         |        |12.6|         |        |11.4|         |40-60   |         |  0.074800|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
RR Cha      |13 26 24.2|-82 19 43|        |18.9|Na   |          |SH   |          |      0.140100|                   |N Cha 1935  |304.1654|-19.5407|1      |NS   |          |IP   |?         |         |        |20.1|B        |        | 7.1|B        |        |    |         |        |         |  0.144400|            |  1950.000|            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
AH Men      |06 11 44.1|-81 49 24|        |13.2|NL   |          |SW   |          |      0.127210|                   |H 0616-818  |293.7816|-28.2401|1      |SH   |          |NS   |          |         |        |14.0|         |        |    |         |        |    |         |        |         |  0.138500|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
RX Cha      |10 36 26.3|-80 02 48|&gt;       |22.0|DN   |          |SU   |          |      0.081800|E                  |            |297.1120|-18.7364|1      |     |          |     |          |         |        |    |         |        |    |         |&lt;       |14.0|         |        |430:     |  0.084900|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
AQ Men      |05 07 53.6|-79 51 24|        |14.8|NL   |          |NS   |          |      0.141471|                   |0511-7955   |292.2629|-31.1504|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |  0.136390|            |          |            |          |            |1      |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
ST Cha      |10 47 15.6|-79 28 07|        |12.4|DN   |?         |ZC   |?         |      0.285000|:                  |            |297.2443|-17.9951|1      |NL   |?         |     |          |         |        |15.3|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1?     |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA Z CAM TYPE|
BE Oct      |00 00 48.8|-77 18 57|        |20.4|DN   |          |SU   |          |      0.074700|E                  |            |306.5044|-39.4592|1      |     |          |     |          |         |        |    |         |        |    |         |        |15.9|         |        |         |  0.077100|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
TU Men      |04 41 40.7|-76 36 46|        |18.5|DN   |          |SU   |          |      0.117200|                   |            |289.3559|-33.6506|1      |     |          |     |          |         |        |    |         |        |12.5|         |        |11.6|         |37      |600?     |  0.126000|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
Z Cha       |08 07 28.2|-76 32 01|        |15.5|DN   |          |SU   |          |      0.074499|                   |            |289.1866|-22.0827|1      |     |          |     |          |         |        |17.3|         |        |12.4|         |        |11.9|         |17      |287      |  0.077300|            |          |            |          |            |2      |2 |M5.5/5      |            |              |      6.70|               |            0.20|               |       81.8|                |              0.1|      |0.840|       |   0.090|      |0.125|       |   0.014|CV DWARF NOVA SU UMA TYPE|
AO Oct      |21 05 08.2|-75 21 02|        |19.8|DN   |          |SU   |          |      0.065350|                   |            |317.7561|-34.4123|1      |WZ   |          |     |          |         |        |20.8|         |        |    |         |        |15.3|         |        |         |  0.067200|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0032-7420  |00 32 55.1|-74 20 20|&gt;       |21.3|N    |          |EG   |          |      0.850000|                   |N SMC 2012  |304.6317|-42.7282|1      |     |          |     |          |I        |        |    |         |&lt;       |10.0|I        |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
V347 Pav    |18 44 48.3|-74 18 34|        |15.2|NL   |          |AM   |          |      0.062553|                   |J1844-7418  |320.3742|-25.5963|1      |     |          |     |          |         |        |16.8|         |        |17.6|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |       68.0|                |              4.0|      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
0035-7230   |00 37 19.8|-72 14 14|        |20.2|SS   |          |EG   |          |      0.172000|                   |            |304.4488|-44.8495|1      |     |          |     |          |         |        |20.6|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |&lt;             |      3.00|               |                |               |       35.0|:               |             15.0|      |     |       |        |      |     |       |        |                       CV|
NGC 104-W120|00 24 10.8|-72 06 20|        |22.7|CV   |          |     |          |      0.220000|:                  |            |305.8805|-44.8663|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-W21 |00 24 07.6|-72 05 27|        |20.9|CV   |          |     |          |      0.072230|                   |            |305.8893|-44.8803|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-W71 |00 24 10.6|-72 05 16|        |20.9|CV   |?         |     |          |      0.098770|                   |            |305.8846|-44.8839|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-W15 |00 24 08.3|-72 05 00|        |22.5|CV   |          |     |          |      0.176400|                   |            |305.8897|-44.8878|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
